question_num,id,trialnum,question,tot,rt,test_trialnum,subj_answer,correct_answer,recall,mistake,recall_notChecked
111,7,54,What is the name for a medical doctor who specializes in diseases of the skin?,N/A,0,19,dermatologist,DERMATOLOGIST,C,0,C
70,7,55,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,N/A,0,31,monticello,MONTICELLO,C,0,C
101,7,56,In which city is Heathrow Airport located?,yes,1.52435009,12,london,LONDON,C,0,C
113,7,57,What is the last name of the villainous captain in the story Peter Pan?,no,1.608674478,35,hook,HOOK,C,0,C
5,7,58,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.61826687,90,henniburg,HINDENBURG,I,0,I
109,7,59,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,no,1.468369486,136,,CHESHIRE,I,0,I
116,7,60,What is the last name of the person who defined 'The Beat Generation'?,no,2.167286834,71,,KEROUAC,I,0,I
27,7,61,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,yes,2.451734139,22,,NAUTILUS,I,0,I
6,7,62,In the bible whose name was changed to Israel?,N/A,0,102,moses,JACOB,I,0,I
128,7,63,What is the name of a dried plum?,N/A,0,8,apricot,PRUNE,I,0,I
15,7,64,What is the last name of the male star of the movie Casablanca?,no,1.609799341,141,,BOGART,I,0,I
41,7,65,What is the name of the furry animal that attacks cobra snakes?,no,1.741451787,83,,MONGOOSE,I,0,I
94,7,66,What were raced in Greek and Roman hippodromes? ,no,1.529043718,48,horses,HORSES,C,0,C
9,7,67,What is the last name of Batman's secret identity in the Batman comics?,N/A,0,76,arthur,WAYNE,I,0,I
95,7,68,What is the last name of the discoverer of the vaccination for smallpox?,no,1.688688504,62,,JENNER,I,0,I
106,7,69,What is the longest river in South America?,no,3.828805829,149,amazon,AMAZON,C,0,C
65,7,70,Who was the most famous Greek doctor?,no,1.497590984,124,hippocrates,HIPPOCRATES,C,0,C
98,7,71,Of which country is Nairobi the capital?,N/A,0,59,kenya,KENYA,C,0,C
73,7,72,What country has the ancient ruins of Machu Picchu?,N/A,0,108,mexico,PERU,I,0,I
37,7,73,What is the last name of the boy in the book Treasure Island?,no,1.481301844,106,,HAWKINS,I,0,I
0,7,74,What is the name of the river that runs through Rome?,no,1.639092128,1,,TIBER,I,0,I
77,7,75,What brand name drug is most often prescribed to treat attention deficit disorder?,N/A,0,122,ritalin,RITALIN,C,0,C
131,7,76,What staple crop does half the world's population depend on?,N/A,0,44,wheat,RICE,I,0,I
31,7,77,What was the capital of Czechoslovakia?,yes,2.052286139,9,prague,PRAGUE,C,0,C
14,7,78,Who was the title character in 'The Merchant of Venice'?,no,1.924272609,150,,ANTONIO,I,0,I
135,7,79,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,yes,2.400242683,130,sphinx,SPHINX,C,0,C
46,7,80,In what European city is the Parthenon located?,yes,1.698669476,24,athens,ATHENS,C,0,C
125,7,81,What is the name of the American who starred in the 1936 Olympics?,N/A,0,25,owens,OWENS,C,0,C
25,7,82,What is the name of the project which developed the atomic bomb during World War II?,N/A,0,131,manhattan,MANHATTAN,C,0,C
10,7,83,What is the last name of the man who wrote Canterbury Tales?,no,1.280627821,114,,CHAUCER,I,0,I
110,7,84,What is the capital of Denmark?,no,3.145747911,27,,COPENHAGEN,I,0,I
18,7,85,What is the capital of Delaware?,no,1.54034671,67,,DOVER,I,0,I
102,7,86,What is the capital of Russia?,N/A,0,34,moscow,MOSCOW,C,0,C
16,7,87,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,N/A,0,56,julia child,CHILD,C,0,I
118,7,88,What is the last name of the man who began the Protestant reformation in Germany?,N/A,0,142,hager,LUTHER,I,0,I
103,7,89,What is the most populous country in Africa?,N/A,0,145,south africa,NIGERIA,I,0,I
64,7,90,What kind of poison did Socrates take at his execution?,N/A,0,75,hemlock,HEMLOCK,C,0,C
51,7,91,Who was the first ruler of the Holy Roman Empire?,yes,1.793531631,18,charlamane,CHARLEMAGNE,C,0,I
120,7,92,What city was Martin Luther King Jr. assassinated in?,N/A,0,133,montgomery,MEMPHIS,I,0,I
22,7,93,Of which country is Budapest the capital?,yes,2.414071045,40,hungary,HUNGARY,C,0,C
90,7,94,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,no,1.204164976,80,david,DAVID,C,1,C
142,7,95,Which big cat usually carries its dead prey up into a tree to eat it?,no,2.539569019,78,leopard,LEOPARD,C,0,C
44,7,96,What is the last name of the author of Little Women?,yes,3.984563402,47,,ALCOTT,I,0,I
80,7,97,What is the capital of Chile?,no,2.202262326,148,santiago,SANTIAGO,C,0,C
81,7,98,In what country is the Dalai Lama's palace?,N/A,0,23,india,TIBET,I,0,I
87,7,99,What is the more common name for a mandrill?,no,1.802784027,87,baboon,BABOON,C,0,C
38,7,100,What is the last name of the author who wrote Brave New World?,no,1.775608654,115,,HUXLEY,I,0,I
45,7,101,What is the last name of the actress who received the Best Actress Award for the movie 'Mary Poppins'?,yes,3.074429571,33,,ANDREWS,I,0,I
79,7,102,What spice do chefs pay the most for?,no,2.90526476,28,sapphron,SAFFRON,I,0,I
66,7,103,Over which river is the George Washington Bridge?,N/A,0,97,hudson,HUDSON,C,0,C
76,7,104,What is the last name of the man who rode horseback in 1775 to warn that the British were coming?,N/A,0,107,revere,REVERE,C,0,C
132,7,105,What was the last name of the woman who designed and sewed the first American flag?,no,0.847803166,113,ross,ROSS,C,1,C
11,7,106,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,no,1.677728074,94,jackson,JACKSON,C,0,C
60,7,107,What is the name of the unit of measure that refers to a six-foot depth of water?,yes,4.368036865,38,,FATHOM,I,0,I
86,7,108,What nuts are used in marzipan? ,N/A,0,58,hazelnuts,ALMONDS,I,0,I
126,7,109,What is the last name of the artist who painted Guernica?,no,1.520023609,26,picasso,PICASSO,C,0,C
112,7,110,What is the first book of the Old Testament?,N/A,0,88,genesis,GENESIS,C,0,C
130,7,111,What's the 'Q' short for in Q-Tips?,no,1.527433128,50,quality,QUALITY,C,0,C
138,7,112,What is the largest city in Canada?,N/A,0,147,toronto,TORONTO,C,0,C
49,7,113,What is the last name of the criminal known as Scarface?,yes,3.048624571,101,capone,CAPONE,C,0,C
4,7,114,What was the name of the first Apollo lunar module that landed the first man on the moon?,no,0.724227304,129,1,EAGLE,I,1,I
99,7,115,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,yes,2.276459966,41,lincoln,LINCOLN,C,0,C
53,7,116,What is the northernmost country in continental South America?,no,2.155022343,85,colombia,COLOMBIA,C,0,C
74,7,117,In which sport does a rider on horseback hit a ball with a mallet?,N/A,0,15,polo,POLO,C,0,C
48,7,118,What is the name of the man who assassinated Abraham Lincoln?,yes,1.700483373,120,,BOOTH,I,0,I
71,7,119,What is the name of the British admiral who won the Battle of Trafalgar?,no,1.531664537,96,,NELSON,I,0,I
54,7,120,What is the name of the island on which Napoleon was born?,no,3.462548721,132,,CORSICA,I,1,I
147,7,121,What is the name of the constellation that looks like a flying horse?,no,1.425113141,144,,PEGASUS,I,0,I
83,7,122,What is the name of the mountain range that separates Asia from Europe?,no,3.495320252,82,uler,URAL,I,0,I
57,7,123,What is the last name of the man who invented the phonograph?,no,1.530564118,74,,EDISON,I,0,I
69,7,124,What is the highest mountain in the U.S.?,no,1.162914643,52,,MCKINLEY,I,1,I
123,7,125,What is the last name of the man who was president directly after James Madison?,no,2.309651403,65,,MONROE,I,1,I
55,7,126,What is the last name of the scientist who discovered radium?,no,2.713744121,140,,CURIE,I,0,I
75,7,127,What is the world's largest snake?,N/A,0,91,anaconda,PYTHON,I,0,I
8,7,128,What is the unit of electrical power that refers to the current of one ampere at one volt?,N/A,0,63,jule,WATT,I,0,I
28,7,129,What is the last name of the author of the book 1984?,N/A,0,110,orwell,ORWELL,C,0,C
52,7,130,What is the capital of Wyoming?,yes,2.331344552,49,cheyenne,CHEYENNE,C,0,C
12,7,131,What drug was named after the Greek god of dreams?,no,1.546101216,37,morphine,MORPHINE,C,0,C
104,7,132,What is the name of the process by which plants make their food?,N/A,0,14,photosynthesis,PHOTOSYNTHESIS,C,0,C
34,7,133,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,no,3.57166357,118,,VENTNOR,I,1,I
119,7,134,What is the name of the ship that carried the pilgrims to America in 1620?,N/A,0,77,mayflower,MAYFLOWER,C,0,C
105,7,135,What virus killed two million people in 1967?,N/A,0,126,influenza,SMALLPOX,I,0,I
3,7,136,What is the last name of the author who wrote Brothers Karamazov?,no,1.951128322,128,dotovsky,DOSTOEVSKY,I,0,I
93,7,137,What island is the largest in the world excluding Australia?,N/A,0,109,madagascar,GREENLAND,I,0,I
96,7,138,What is the last name of the person who has graced the most Sports Illustrated covers?,yes,4.815654609,81,,JORDAN,I,1,I
127,7,139,What is the name of Socrates' most famous student?,N/A,0,17,plato,PLATO,C,0,C
13,7,140,What is the name of Batman's butler?,N/A,0,146,arthur,ALFRED,I,0,I
121,7,141,What is the name for the astronomical bodies that enter the earth's atmosphere?,yes,3.473387107,66,meteor,METEORS,C,0,I
92,7,142,What is the last name of the man who showed that lightning is electricity?,no,3.882512592,100,franklin,FRANKLIN,C,0,C
1,7,143,What is the name of the palace in London in which the monarch of England resides?,no,2.31235138,135,buckingham,BUCKINGHAM,C,0,C
146,7,144,What country joins Central America to South America?,yes,3.023618538,61,panama,PANAMA,C,0,C
114,7,145,What company invented the microprocessor in 1971?,N/A,0,99,intel,INTEL,C,0,C
72,7,146,What colorless gas is essential in the production of fertilizers and light bulbs?,no,3.032487593,10,nitrogen,NITROGEN,C,0,C
20,7,147,What is the capital of Kentucky?,no,0.815225437,4,,FRANKFORT,I,1,I
144,7,148,What is the last name of the composer who wrote the opera 'Don Giovanni'?,no,1.962506192,134,mozart,MOZART,C,0,C
7,7,149,What is the last name of the man who first studied genetic inheritance in plants?,no,2.600509882,72,darwin,MENDEL,I,1,I
149,7,150,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,yes,2.065731055,105,presley,PRESLEY,C,0,C
12,8,1,What drug was named after the Greek god of dreams?,no,2.013112978,69,morphine,MORPHINE,C,0,C
82,8,2,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,no,1.727920479,27,tolstoy,TOLSTOY,C,0,C
5,8,3,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.617431371,2,hindenburg,HINDENBURG,C,0,C
50,8,4,The general named Hannibal was from what city?,no,2.12165443,80,,CARTHAGE,I,0,I
125,8,5,What is the name of the American who starred in the 1936 Olympics?,no,1.795868085,38,owens,OWENS,C,0,C
90,8,6,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,no,2.134696022,105,david,DAVID,C,0,C
64,8,7,What kind of poison did Socrates take at his execution?,yes,2.520261874,11,hemlock,HEMLOCK,C,0,C
84,8,8,What's heaven to fallen Norse warriors?,no,1.343530826,123,valhalla,VALHALLA,C,1,C
21,8,9,What is the last name of the first U.S. President to die in office?,no,1.330764706,133,lincoln,HARRISON,I,1,I
61,8,10,What is the last name of the author of the James Bond novels?,no,1.228871113,124,,FLEMING,I,0,I
43,8,11,What is the last name of the second U.S. president?,no,2.262743459,31,adams,ADAMS,C,0,C
97,8,12,Brown vs. Board of Education the landmark civil-rights case originated in what state?,N/A,0,141,mississippi,KANSAS,I,0,I
83,8,13,What is the name of the mountain range that separates Asia from Europe?,yes,2.946880571,89,ural,URAL,C,0,C
65,8,14,Who was the most famous Greek doctor?,no,1.066360522,60,hippocrates,HIPPOCRATES,C,0,C
104,8,15,What is the name of the process by which plants make their food?,N/A,0,72,photosynthesis,PHOTOSYNTHESIS,C,1,C
129,8,16,What was Cinderella's coach made from?,N/A,0,113,pumpkin,PUMPKIN,C,0,C
35,8,17,What is the last name of the artist who is famous for producing images of Campbell's soup cans?,N/A,0,87,warhol,WARHOL,C,0,C
110,8,18,What is the capital of Denmark?,N/A,0,130,oslo,COPENHAGEN,I,0,I
105,8,19,What virus killed two million people in 1967?,no,1.505306474,147,smallpox,SMALLPOX,C,0,C
103,8,20,What is the most populous country in Africa?,no,2.195556659,3,nigeria,NIGERIA,C,1,C
122,8,21,Which dynasty was in power throughout the 1500's in China?,no,2.953185752,148,ming,MING,C,1,C
39,8,22,What country's capital is Tripoli?,yes,1.879104021,59,libya,LIBYA,C,0,C
44,8,23,What is the last name of the author of Little Women?,no,2.163683817,45,alcott,ALCOTT,C,0,C
139,8,24,In which country is Angel Falls located?,no,0.430105184,109,venezuela,VENEZUELA,C,0,C
42,8,25,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,no,1.552998622,107,,PREAKNESS,I,0,I
92,8,26,What is the last name of the man who showed that lightning is electricity?,no,1.655192403,22,franklin,FRANKLIN,C,1,C
91,8,27,What is the last name of the man who supposedly killed Jesse James?,no,0.310024896,137,,FORD,I,0,I
95,8,28,What is the last name of the discoverer of the vaccination for smallpox?,no,1.507443235,9,,JENNER,I,0,I
78,8,29,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,N/A,0,16,congo,RWANDA,I,0,I
142,8,30,Which big cat usually carries its dead prey up into a tree to eat it?,no,1.68391279,98,leopard,LEOPARD,C,0,C
3,8,31,What is the last name of the author who wrote Brothers Karamazov?,N/A,0,10,dostoyevsky,DOSTOEVSKY,C,0,I
56,8,32,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,2.128037853,49,jackon,CUSTER,I,0,I
102,8,33,What is the capital of Russia?,N/A,0,85,moscow,MOSCOW,C,0,C
100,8,34,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,no,1.574276986,65,lion,LION,C,0,C
28,8,35,What is the last name of the author of the book 1984?,yes,3.280504025,94,orwell,ORWELL,C,0,C
141,8,36,What is the name of the captain of the Pequod in the book Moby Dick?,no,3.353013719,110,,AHAB,I,0,I
24,8,37,What is the capital of Jamaica?,no,1.858577566,119,kingston,KINGSTON,C,0,C
25,8,38,What is the name of the project which developed the atomic bomb during World War II?,N/A,0,111,manhattan,MANHATTAN,C,0,C
62,8,39,In which city is Michelangelo's statue of David located?,no,1.498682313,77,florence,FLORENCE,C,0,C
33,8,40,What is the name of the crime in which a person purposely betrays their country?,no,0.882582463,142,treason,TREASON,C,1,C
114,8,41,What company invented the microprocessor in 1971?,N/A,0,115,intel,INTEL,C,0,C
19,8,42,What is May's birthstone?,no,1.725102903,127,emerald,EMERALD,C,0,C
57,8,43,What is the last name of the man who invented the phonograph?,no,0.561188078,135,edison,EDISON,C,1,C
2,8,44,What is the name of the collar bone?,N/A,0,134,clavicule,CLAVICLE,C,0,I
15,8,45,What is the last name of the male star of the movie Casablanca?,no,1.55298154,90,,BOGART,I,0,I
76,8,46,What is the last name of the man who rode horseback in 1775 to warn that the British were coming?,no,1.845118712,46,revere,REVERE,C,0,C
23,8,47,What country gave the world the word 'geyser' for a hot spring?,no,2.069479164,101,iceland,ICELAND,C,0,C
59,8,48,What is the name of a female sheep?,no,0.277964854,144,ewe,EWE,C,0,C
77,8,49,What brand name drug is most often prescribed to treat attention deficit disorder?,N/A,0,43,ritalin,RITALIN,C,0,C
70,8,50,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,no,1.86963213,112,,MONTICELLO,I,0,I
117,8,51,What human organ (or organs) does a nephrologist treat?,N/A,0,56,kidney,KIDNEY,C,0,C
60,8,52,What is the name of the unit of measure that refers to a six-foot depth of water?,no,1.835257453,97,,FATHOM,I,0,I
93,8,53,What island is the largest in the world excluding Australia?,no,3.564279046,53,greenland,GREENLAND,C,1,C
81,8,54,In what country is the Dalai Lama's palace?,no,1.015377744,146,tiber,TIBET,C,1,I
137,8,55,What liquor packs the punch in an Aztec Punch?,no,1.289101575,23,tequila,TEQUILA,C,1,C
124,8,56,What major city is on an island in the St. Lawrence River?,no,2.064893799,145,montreal,MONTREAL,C,1,C
75,8,57,What is the world's largest snake?,N/A,0,6,boa,PYTHON,I,0,I
147,8,58,What is the name of the constellation that looks like a flying horse?,no,2.104868842,63,pegasus,PEGASUS,C,0,C
109,8,59,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,no,1.68285159,29,chesire,CHESHIRE,C,0,I
45,8,60,What is the last name of the actress who received the Best Actress Award for the movie 'Mary Poppins'?,no,1.50752252,82,,ANDREWS,I,0,I
111,8,61,What is the name for a medical doctor who specializes in diseases of the skin?,N/A,0,44,dermatologist,DERMATOLOGIST,C,0,C
54,8,62,What is the name of the island on which Napoleon was born?,no,3.493624627,61,corsica,CORSICA,C,1,C
48,8,63,What is the name of the man who assassinated Abraham Lincoln?,no,1.172831641,15,,BOOTH,I,0,I
63,8,64,What is the last name of the author who wrote 'The Old Man and the Sea'?,N/A,0,149,hemingway,HEMINGWAY,C,0,C
133,8,65,What nation signed away a fourth of its European land in a 1918 Treaty?,no,1.187491985,37,russia,RUSSIA,C,1,C
36,8,66,What sitcom received a record 117 Emmy nominations?,N/A,0,25,friends,CHEERS,I,0,I
94,8,67,What were raced in Greek and Roman hippodromes? ,no,2.021542023,39,horses,HORSES,C,0,C
72,8,68,What colorless gas is essential in the production of fertilizers and light bulbs?,yes,5.955775989,24,nitrogen,NITROGEN,C,0,C
87,8,69,What is the more common name for a mandrill?,no,0.726910445,8,baboon,BABOON,C,1,C
73,8,70,What country has the ancient ruins of Machu Picchu?,N/A,0,52,peru,PERU,C,0,C
34,8,71,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,no,3.16156897,54,vernon,VENTNOR,I,0,I
17,8,72,What is the last name of the author who wrote Oliver Twist?,N/A,0,114,twain,DICKENS,I,0,I
121,8,73,What is the name for the astronomical bodies that enter the earth's atmosphere?,N/A,0,122,meteor,METEORS,C,0,I
31,8,74,What was the capital of Czechoslovakia?,no,2.085322689,132,prague,PRAGUE,C,0,C
140,8,75,What country was formerly known as the Belgian Congo?,no,3.002354392,129,zaire,ZAIRE,C,1,C
80,8,76,What is the capital of Chile?,yes,3.417131779,121,santiago,SANTIAGO,C,0,C
120,8,77,What city was Martin Luther King Jr. assassinated in?,yes,2.416040635,55,menphis,MEMPHIS,C,0,I
46,8,78,In what European city is the Parthenon located?,yes,2.331901919,93,athens,ATHENS,C,0,C
9,8,79,What is the last name of Batman's secret identity in the Batman comics?,no,1.860795567,62,,WAYNE,I,0,I
18,8,80,What is the capital of Delaware?,no,1.923054649,139,,DOVER,I,0,I
58,8,81,What's the northernmost Baltic republic?,no,0.610764766,116,,ESTONIA,I,1,I
148,8,82,What country's ships transported four million African slaves to Brazil?,N/A,0,136,portugal,PORTUGAL,C,0,C
128,8,83,What is the name of a dried plum?,N/A,0,41,prune,PRUNE,C,0,C
22,8,84,Of which country is Budapest the capital?,N/A,0,125,turkey,HUNGARY,I,0,I
16,8,85,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,N/A,0,58,sl,CHILD,I,0,I
1,8,86,What is the name of the palace in London in which the monarch of England resides?,no,1.965644094,74,buckingham,BUCKINGHAM,C,0,C
99,8,87,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,yes,3.223036796,83,lincoln,LINCOLN,C,0,C
55,8,88,What is the last name of the scientist who discovered radium?,N/A,0,138,curie,CURIE,C,0,C
143,8,89,What is the Taj Majal made of?,no,0.671234236,7,marble,MARBLE,C,1,C
113,8,90,What is the last name of the villainous captain in the story Peter Pan?,no,2.400869735,12,hook,HOOK,C,0,C
126,8,91,What is the last name of the artist who painted Guernica?,N/A,0,51,picasso,PICASSO,C,0,C
37,8,92,What is the last name of the boy in the book Treasure Island?,no,1.523583395,75,,HAWKINS,I,0,I
69,8,93,What is the highest mountain in the U.S.?,no,1.992482833,103,mckinley,MCKINLEY,C,0,C
115,8,94,Who was the leader of the Argonauts?,N/A,0,106,jason,JASON,C,0,C
135,8,95,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,no,3.621785928,36,sphinx,SPHINX,C,0,C
118,8,96,What is the last name of the man who began the Protestant reformation in Germany?,N/A,0,33,luthe,LUTHER,C,0,I
86,8,97,What nuts are used in marzipan? ,N/A,0,143,truffles,ALMONDS,I,0,I
107,8,98,What is the last name of the first person to set foot on the moon?,no,1.7854736,57,amrstrong,ARMSTRONG,I,0,I
119,8,99,What is the name of the ship that carried the pilgrims to America in 1620?,N/A,0,102,mayflower,MAYFLOWER,C,0,C
66,8,100,Over which river is the George Washington Bridge?,no,3.346183326,150,hudson,HUDSON,C,1,C
145,8,101,What is the last name of the man who invented dynamite?,no,1.339850342,104,nobel,NOBEL,C,0,C
71,8,102,What is the name of the British admiral who won the Battle of Trafalgar?,no,2.024403026,79,,NELSON,I,0,I
130,8,103,What's the 'Q' short for in Q-Tips?,no,1.33191247,47,quality,QUALITY,C,0,C
106,8,104,What is the longest river in South America?,no,0.628233154,14,amazon,AMAZON,C,1,C
89,8,105,What is the last name of the renowned English author who had been a Polish sailor?,no,1.59114439,50,conrad,CONRAD,C,0,C
68,8,106,What Peanuts character clings to a security blanket?,N/A,0,32,charlie,LINUS,I,0,I
6,8,107,In the bible whose name was changed to Israel?,no,1.907984502,86,jacob,JACOB,C,0,C
108,8,108,Who was The Friendly Ghost?,N/A,0,67,casper,CASPER,C,0,C
4,8,109,What was the name of the first Apollo lunar module that landed the first man on the moon?,no,0.566479976,30,eagle,EAGLE,C,0,C
30,8,110,What is the name of the organ that produces insulin?,no,0.548275708,5,pancr,PANCREAS,I,0,I
127,8,111,What is the name of Socrates' most famous student?,no,1.274756977,118,plato,PLATO,C,1,C
132,8,112,What was the last name of the woman who designed and sewed the first American flag?,yes,3.504466999,100,,ROSS,I,0,I
74,8,113,In which sport does a rider on horseback hit a ball with a mallet?,N/A,0,92,polo,POLO,C,0,C
116,8,114,What is the last name of the person who defined 'The Beat Generation'?,N/A,0,18,presley,KEROUAC,I,0,I
79,8,115,What spice do chefs pay the most for?,N/A,0,64,,SAFFRON,I,0,I
49,8,116,What is the last name of the criminal known as Scarface?,no,1.857180489,26,capone,CAPONE,C,0,C
11,8,117,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,no,1.52968516,84,jackson,JACKSON,C,0,C
29,8,118,What is the last name of the man who assassinated President John Kennedy?,no,1.811564519,73,,OSWALD,I,0,I
85,8,119,What animals travel in pods? ,no,0.54448362,28,whales,WHALES,C,1,C
96,8,120,What is the last name of the person who has graced the most Sports Illustrated covers?,N/A,0,70,bundchen,JORDAN,I,0,I
32,8,121,What is the capital of Bulgaria?,no,1.863289041,126,sophia,SOPHIA,C,1,C
38,8,122,What is the last name of the author who wrote Brave New World?,no,0.930313972,20,huxley,HUXLEY,C,0,C
67,8,123,What is the last name of the man who wrote the Star Spangled Banner?,yes,2.599665377,108,key,KEY,C,0,C
53,8,124,What is the northernmost country in continental South America?,no,4.170256336,95,colombia,COLOMBIA,C,1,C
52,8,125,What is the capital of Wyoming?,no,0.422492847,40,cheyenne,CHEYENNE,C,0,C
88,8,126,What igneous rock makes up the bulk of Devils Tower?,no,0.262315927,17,,BASALT,I,0,I
26,8,127,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,0.482027808,1,monitor,MONITOR,C,0,C
123,8,128,What is the last name of the man who was president directly after James Madison?,no,0.420616993,120,,MONROE,I,0,I
27,8,129,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,no,0.283188534,91,nautilus,NAUTILUS,C,0,C
20,8,130,What is the capital of Kentucky?,no,0.24733316,96,,FRANKFORT,I,0,I
8,8,131,What is the unit of electrical power that refers to the current of one ampere at one volt?,no,0.297310955,34,watt,WATT,C,0,C
138,8,132,What is the largest city in Canada?,no,2.494312609,117,toronto,TORONTO,C,0,C
136,8,133,According to the FDA what's the only fish that produces real caviar?,no,0.468120692,99,sturgeon,STURGEON,C,0,C
0,8,134,What is the name of the river that runs through Rome?,no,0.752422299,66,tiber,TIBER,C,0,C
144,8,135,What is the last name of the composer who wrote the opera 'Don Giovanni'?,no,0.201238592,128,mozart,MOZART,C,0,C
134,8,136,What country's civil war was described as a 'rehearsal for World War II'?,no,1.67687186,48,spain,SPAIN,C,0,C
13,8,137,What is the name of Batman's butler?,no,0.3227867,68,alfred,ALFRED,C,0,C
10,8,138,What is the last name of the man who wrote Canterbury Tales?,no,0.837533748,78,chaucer,CHAUCER,C,1,C
98,8,139,Of which country is Nairobi the capital?,N/A,0,19,kenya,KENYA,C,0,C
146,8,140,What country joins Central America to South America?,N/A,0,42,guatemala,PANAMA,I,0,I
131,8,141,What staple crop does half the world's population depend on?,N/A,0,81,corn,RICE,I,0,I
47,8,142,In what ancient city were the Hanging Gardens located?,N/A,0,71,mesopotamia,BABYLON,I,0,I
51,8,143,Who was the first ruler of the Holy Roman Empire?,no,1.690186519,13,charlemagne,CHARLEMAGNE,C,0,C
7,8,144,What is the last name of the man who first studied genetic inheritance in plants?,yes,2.950103439,76,mendel,MENDEL,C,0,C
14,8,145,Who was the title character in 'The Merchant of Venice'?,no,1.162059211,21,antonio,ANTONIO,C,0,C
40,8,146,What's the largest gland in the human body?,no,2.671736793,35,liver,LIVER,C,0,C
41,8,147,What is the name of the furry animal that attacks cobra snakes?,yes,3.61725595,4,mongoose,MONGOOSE,C,0,C
101,8,148,In which city is Heathrow Airport located?,N/A,0,88,dublin,LONDON,I,0,I
112,8,149,What is the first book of the Old Testament?,N/A,0,140,genesis,GENESIS,C,0,C
149,8,150,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,no,0.418380777,131,presley,PRESLEY,C,0,C
127,9,1,What is the name of Socrates' most famous student?,yes,1.990999723,91,plato,PLATO,C,0,C
128,9,2,What is the name of a dried plum?,no,1.573223972,99,,PRUNE,I,0,I
45,9,3,What is the last name of the actress who received the Best Actress Award for the movie 'Mary Poppins'?,no,1.327591094,63,,ANDREWS,I,0,I
36,9,4,What sitcom received a record 117 Emmy nominations?,no,1.292131491,81,,CHEERS,I,1,I
71,9,5,What is the name of the British admiral who won the Battle of Trafalgar?,no,0.811029123,36,nalson,NELSON,C,1,I
79,9,6,What spice do chefs pay the most for?,no,1.27371558,115,,SAFFRON,I,0,I
108,9,7,Who was The Friendly Ghost?,no,1.416309134,124,,CASPER,I,0,I
7,9,8,What is the last name of the man who first studied genetic inheritance in plants?,N/A,0,117,mondel,MENDEL,C,0,I
118,9,9,What is the last name of the man who began the Protestant reformation in Germany?,no,1.488803258,141,luthor,LUTHER,C,0,I
115,9,10,Who was the leader of the Argonauts?,no,1.673897157,88,,JASON,I,0,I
65,9,11,Who was the most famous Greek doctor?,yes,3.432137563,116,,HIPPOCRATES,I,0,I
46,9,12,In what European city is the Parthenon located?,no,1.096043534,29,athens,ATHENS,C,1,C
52,9,13,What is the capital of Wyoming?,no,1.336640565,26,,CHEYENNE,I,0,I
43,9,14,What is the last name of the second U.S. president?,no,1.85935094,43,,ADAMS,I,0,I
101,9,15,In which city is Heathrow Airport located?,N/A,0,77,london,LONDON,C,0,C
78,9,16,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,N/A,0,46,luwanda,RWANDA,C,0,I
59,9,17,What is the name of a female sheep?,no,1.263161968,95,,EWE,I,0,I
111,9,18,What is the name for a medical doctor who specializes in diseases of the skin?,no,1.435697881,33,,DERMATOLOGIST,I,0,I
47,9,19,In what ancient city were the Hanging Gardens located?,no,1.513666063,3,babelon,BABYLON,C,0,I
103,9,20,What is the most populous country in Africa?,no,0.992722413,12,,NIGERIA,I,1,I
88,9,21,What igneous rock makes up the bulk of Devils Tower?,no,1.426251645,83,,BASALT,I,0,I
141,9,22,What is the name of the captain of the Pequod in the book Moby Dick?,no,1.798272662,78,,AHAB,I,0,I
